"","especie","eco_con","eco_dud","hab_con","hab_dud","tha","ele_inf","ele_sup"
"195","Euryzygomatomys spinosus","Campos y Malezales; Selva Paranaense","","selvas o bosques; pastizales","cultivos o agrícolas; forestaciones; pasturas ganaderas","DESCONOCIDA","0","2300"
"196","Feresa attenuata","","","","","SIN DATOS","",""
"197","Galea comes","Puna; Monte de Sierras y Bolsones","","pastizales; rupestre","arbustales","MEDIA","",""
"198","Galea leucoblephara","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Espinal; Pampa","","pastizales","selvas o bosques; arbustales; estepas","MEDIA","",""
"199","Galictis cuja","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense; Estepa Patagónica","","arbustales; pastizales; rupestre","selvas o bosques; estepas; cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","MEDIA","0","4600"
"200","Galictis vittata","Selva Paranaense","","selvas o bosques","","BAJA","100","400"
"201","Geoxus michaelseni","Bosque Patagónico","","selvas o bosques; arbustales","","DESCONOCIDA","",""
"202","Geoxus valdivianus","Bosque Patagónico","","selvas o bosques; arbustales","pastizales","BAJA","600","2000"
"203","Globicephala melas","","","oceánicos","costeros","SIN DATOS","",""
"204","Glossophaga soricina","Yungas; Chaco Húmedo; Delta e Islas del Paraná; Selva Paranaense","","selvas o bosques; palustre","urbano o periurbano","MEDIA","0","700"
"205","Glyphonycteris sylvestris","Selva Paranaense","","selvas o bosques","","DESCONOCIDA","45","1476"
"206","Gracilinanus microtarsus","Campos y Malezales; Selva Paranaense","","selvas o bosques","arbustales","MEDIA","0","1800"
"207","Grampus griseus","","","oceánicos","costeros","SIN DATOS","",""
"208","Graomys chacoensis","Chaco Seco; Chaco Húmedo; Espinal","","selvas o bosques","arbustales","BAJA","",""
"209","Graomys domorum","Yungas; Chaco Seco","","selvas o bosques","","DESCONOCIDA","480","1580"
"210","Graomys edithae","Yungas; Chaco Seco","","pastizales","arbustales","DESCONOCIDA","600","3000"
"211","Graomys griseoflavus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Espinal; Estepa Patagónica","","arbustales; pastizales; estepas","rupestre; cultivos o agrícolas","MEDIA","0","1300"
"212","Guerlinguetus brasiliensis","Campos y Malezales; Selva Paranaense","","selvas o bosques","forestaciones; urbano o periurbano","MEDIA","",""
"213","Gyldenstolpia fronto","Chaco Húmedo","","pastizales","","SIN DATOS","",""
"214","Herpailurus yagouaroundi","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Bosque Patagónico; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; arbustales; pastizales; palustre","rupestre; estepas; cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","0","3200"
"215","Hippocamelus antisensis","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones","","pastizales","selvas o bosques; arbustales; rupestre; estepas; palustre","MUY BAJA","1800","5500"
"216","Hippocamelus bisulcus","Altos Andes; Bosque Patagónico; Estepa Patagónica","","arbustales","selvas o bosques; pastizales; estepas","MEDIA","200","3000"
"217","Histiotus laephotis","Yungas; Chaco Seco","","selvas o bosques","canales artificiales","BAJA","190","2000"
"218","Histiotus macrotus","Altos Andes; Puna; Yungas; Monte de Sierras y Bolsones; Chaco Seco; Bosque Patagónico; Espinal; Estepa Patagónica","","selvas o bosques; pastizales","cultivos o agrícolas; embalses o diques; urbano o periurbano","BAJA","240","4000"
"219","Histiotus magellanicus","Bosque Patagónico; Estepa Patagónica","","selvas o bosques; estepas; rios o arroyos","cultivos o agrícolas; forestaciones; urbano o periurbano","BAJA","500","1200"
"220","Histiotus montanus","Yungas; Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Bosque Patagónico; Espinal; Pampa; Estepa Patagónica","","selvas o bosques; arbustales; pastizales; rupestre; estepas","cultivos o agrícolas; forestaciones; urbano o periurbano","MEDIA","13","1667"
"221","Histiotus velatus","Yungas; Campos y Malezales; Selva Paranaense","","selvas o bosques","","DESCONOCIDA","90","1000"
"222","Holochilus chacarius","Yungas; Chaco Seco; Chaco Húmedo; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","","palustre","cultivos o agrícolas; forestaciones; pasturas ganaderas","MEDIA","",""
"223","Holochilus lagigliai","Monte de Sierras y Bolsones","","palustre","","SIN DATOS","",""
"224","Holochilus vulpinus","Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa","","palustre","canales artificiales","BAJA","",""
"225","Hydrochoerus hydrochaeris","Yungas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Selva Paranaense","","selvas o bosques; pastizales; lagos o lagunas; rios o arroyos; palustre; embalses o diques; canales artificiales","arbustales; cultivos o agrícolas; forestaciones; pasturas ganaderas; urbano o periurbano","ALTA","0","1300"
"226","Hydrurga leptonyx","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","BAJA","",""
"227","Hyperoodon planifrons","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"228","Irenomys tarsalis","Bosque Patagónico","","selvas o bosques; arbustales","estepas","MEDIA","",""
"229","Juliomys pictipes","Selva Paranaense","","selvas o bosques","","MUY BAJA","0","2000"
"230","Kannabateomys amblyonyx","Selva Paranaense","","selvas o bosques","","BAJA","0","1200"
"231","Kogia breviceps","","","oceánicos","","DESCONOCIDA","",""
"232","Kogia sima","","","","","SIN DATOS","",""
"233","Lagenodelphis hosei","","","oceánicos","costeros","DESCONOCIDA","",""
"234","Lagenorhynchus australis","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"235","Lagenorhynchus cruciger","Islas del Atlántico Sur; X Mar Argentino","","oceánicos","costeros","DESCONOCIDA","",""
"236","Lagenorhynchus obscurus","Islas del Atlántico Sur; X Mar Argentino","","costeros; oceánicos","","DESCONOCIDA","",""
"237","Lagidium moreni","Altos Andes; Monte de Llanuras y Mesetas; Estepa Patagónica","","rupestre","","DESCONOCIDA","",""
"238","Lagidium viscacia","Altos Andes; Puna; Monte de Llanuras y Mesetas; Estepa Patagónica","","rupestre","arbustales; pastizales; estepas","MEDIA","600","4800"
"239","Lagidium wolffsohni","Estepa Patagónica","","rupestre","","DESCONOCIDA","800","4000"
"240","Lagostomus maximus","Monte de Sierras y Bolsones; Monte de Llanuras y Mesetas; Chaco Seco; Chaco Húmedo; Campos y Malezales; Esteros del Iberá; Espinal; Delta e Islas del Paraná; Pampa; Estepa Patagónica","","arbustales; pastizales; estepas","cultivos o agrícolas; pasturas ganaderas; urbano o periurbano","ALTA","0","2680"
